site,lat,lon
1,48.6017868382102,-114.02527324162968
2,48.595883317107564,-114.02384316541605
3,48.58440501817423,-114.01874045240885
4,48.584580645779994,-114.01475650249519
5,48.59791503803893,-114.00401319530292
6,48.60719808109158,-114.00011234957229
7,48.60094069933025,-114.00030688298315
8,48.57748402591084,-113.85829861139294
9,48.570437500040015,-113.82263725746752
10,48.573707256283,-113.8639971427359
11,48.56985502077084,-113.86151527958081
12,48.562947186678,-113.84072376673079
13,48.566767467203675,-113.82222949681794
14,48.55872679875068,-113.84037882517428
15,48.56138978819632,-113.83638009628577
16,48.56033267439871,-113.83363703758151
17,48.56233183642356,-113.82588653624528
18,48.558447792046415,-113.83271840334214
19,48.61707586252001,-113.8553102874351
20,48.605628962873,-113.84448897276829
21,48.61647858827163,-113.82702350539299
22,48.614682131374025,-113.83019341243437
23,48.620477330699856,-113.8165935827373
27,48.615339732350186,-113.8297959638368
28,48.60197302892647,-113.82781407885778
29,48.60304352477026,-113.8311162876607
30,48.62656807663711,-113.85930726573167
31,48.57602602454967,-113.87096213257279
32,48.56670765175522,-113.84111078235667
33,48.575484836720904,-113.86343322735074
34,48.55462676567986,-113.84826772076464
35,48.56584956542209,-113.84706824578143
36,48.55623530219861,-113.85415920900456
38,48.57196479023445,-113.84937777646493
40,48.58371862203502,-113.85035086621639
41,48.57879344760424,-113.79918296269139
42,48.58172164769477,-113.7897573125012
43,48.588161902389984,-113.778312713304
44,48.58066987485562,-113.84520258211677
45,48.573698828769324,-113.83819446576084
46,48.57290459519035,-113.87813397743417
47,48.573783994049286,-113.88684798388059
48,48.59663775779714,-113.81789861059436
49,48.60061682972719,-113.81082167677936
50,48.62412182508864,-113.80478516401392
51,48.619109129502945,-113.80962342372868
52,48.6136751895093,-113.82650049084627
56,48.5978474544763,-113.82580658953397
57,48.597238025175,-113.83156481712093
58,48.60302804519121,-113.97474544451043
59,48.60550211526814,-113.97962590135153
60,48.61023291389028,-113.99564417768772
61,48.613098988430195,-113.99476902846196
62,48.64555066250082,-113.92810841988776
63,48.647417242138886,-113.92617978538169
64,48.59567081592967,-113.92727058507297
65,48.644013550911005,-113.90710974099768
66,48.64041059891188,-113.91508926315768
67,48.638878829663085,-113.90984193732898
68,48.63624693189388,-113.90610649183701
69,48.60815229763887,-113.91550993923526
70,48.619802493612255,-113.90882581080552
71,48.612425313802945,-113.9843350708563
72,48.60753949702676,-113.97773780725461
73,48.60414026869295,-113.96477120960375
74,48.601335113805376,-113.96329096235478
75,48.63675020943034,-113.893632207908
76,48.63913913028761,-113.890945081715
77,48.63985845017667,-113.88702187887225
78,48.64112163406546,-113.8832925102065
79,48.62652114817417,-113.91213043335821
80,48.64442129742397,-113.92191939914957
81,48.641026509105686,-113.92131583901691
82,48.636648029603734,-113.92578715230016
83,48.63052009593036,-113.91303944129287
84,48.63301543722327,-113.91299942294285
